haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000055000105,23000700000869,7000055000106,7000055000000,23,4.1794686,7000055000106,-1,7000055000104,7000055000105,-1,34,1.9795104,1.8934448,1.9795104,32113,3.5007753,9.363072,31.459173,132107,0,1,3,-280.6577,-90.94155,130.75777,47.552822,70.86799,0.10185922,-0.026339673,-0.04480327,394057,7,869,0.013419437,74
7000055000106,22000700002057,7000055000106,7000055000000,22,4.5195556,-1,-1,7000055000105,7000055000106,-1,20,1.2049193,1.2049193,1.2909851,32113,3.7150013,9.508181,31.44844,132107,0,1,3,-254.35646,-138.93936,97.47834,37.858517,75.504425,0.0808081,0.04677542,0.06702858,394070,7,2057,0.007141966,848
7000055000107,24000700001471,7000055000108,7000055000000,24,3.8656828,7000055000108,-1,7000055000037,7000055000107,-1,32,2.2377074,2.1516418,2.3237731,32113,3.142048,9.126544,32.27417,132111,0,1,3,56.212204,195.23372,-115.15434,50.60888,79.54734,-0.14513636,0.082942024,-0.21272214,19291130,7,1471,0.011460538,713
7000055000108,23000700001808,7000055000108,7000055000000,23,4.1794686,-1,-1,7000055000107,7000055000108,-1,20,1.3770508,1.3770508,1.3770508,32113,3.1047375,9.072521,32.312035,132111,0,1,3,49.733673,174.28206,-90.299484,41.764706,64.7935,-0.12399138,-0.016038543,-0.17396162,19291130,7,1808,0.00969839,585
7000055000109,26000700000018,7000055000113,7000055000000,26,3.3080978,7000055000110,-1,7000055000036,7000055000037,-1,35,0.0,0.0,0.0,32113,2.890369,9.666729,31.441511,132106,0,1,3,148.60483,-212.96259,274.8495,47.091465,71.4363,0.035561748,0.15452905,0.2517748,390928,7,18,0.01579257,13
7000055000110,25000700000919,7000055000113,7000055000000,25,3.575905,7000055000111,-1,7000055000109,7000055000110,-1,54,2.4098387,2.4098387,2.4098387,32113,2.8310435,9.722064,31.304329,132106,0,1,3,71.35577,-195.93973,233.00095,56.664833,88.91041,-0.14768381,0.011890264,-0.07980403,391206,7,919,0.018029362,181
7000055000111,24000000000734,7000055000113,7000055000000,24,3.8656828,7000055000112,-1,7000055000110,7000055000111,-1,59,4.131152,4.131152,4.3032837,653,2.7950535,9.868463,31.195847,19772,0,1,3,50.13301,-187.24954,197.30031,54.620125,93.82584,0.010181659,0.17222637,0.015953496,391206,0,734,0.0150944125,131
7000055000112,23000000001248,7000055000113,7000055000000,23,4.1794686,7000055000113,-1,7000055000111,7000055000112,-1,37,1.549182,1.549182,1.7213135,653,2.776482,9.975832,31.112825,19772,0,1,3,23.46956,-172.8568,184.07156,46.855877,74.75758,-0.19314145,-0.033196546,0.0010885295,390928,0,1248,0.015733812,217
7000055000113,22000000001517,7000055000113,7000055000000,22,4.5195556,-1,-1,7000055000112,7000055000113,-1,26,1.2049193,0.774591,1.2049193,653,2.7867348,10.035617,30.996975,19772,0,1,3,-4.9972954,-118.1197,172.29456,40.92567,67.93831,0.048431262,0.10643355,0.012169709,391143,0,1517,0.012302729,526
7000055000114,27000700001140,7000055000116,7000055000000,27,3.060419,7000055000115,-1,7000055000035,7000055000114,-1,31,3.7868896,3.7868896,4.0450864,32114,2.574464,9.850093,31.91686,132120,0,1,3,281.5792,20.749514,-30.592972,46.3717,71.88702,0.21887754,0.014836759,-0.080362916,19294045,7,1140,0.012130622,424
7000055000115,26000700002096,7000055000116,7000055000000,26,3.3080978,7000055000116,-1,7000055000114,7000055000115,-1,28,1.4631164,1.4631164,1.549182,32114,2.433867,9.812637,31.980204,132120,0,1,3,218.7416,47.481003,-16.25401,44.285595,69.13752,0.14621262,0.012755815,-0.05693429,19294012,7,2096,0.013219621,67
7000055000116,25000700002633,7000055000116,7000055000000,25,3.575905,-1,-1,7000055000115,7000055000116,-1,20,0.9467224,0.9467224,1.032788,32114,2.293656,9.826715,31.964863,132120,0,1,3,193.9662,49.789284,-0.5080373,42.003956,63.494106,0.12425121,-0.05071008,2.489874E-4,19294082,7,2633,0.011097117,395
